timestamp,load,ram_usage
5674117,0.435877,0.55840874
6674962,0.341669,0.5623442
7675860,0.349794,0.5623442
8676674,0.358576,0.5624754
9677710,0.350434,0.5624754
10678673,0.356048,0.5548013
11679718,0.359911,0.5548013
12679866,0.350077,0.5548013
13680965,0.359394,0.5548013
14681673,0.343764,0.5548013
15682777,0.344914,0.555326
16683739,0.362105,0.55539155
17684908,0.357058,0.55539155
18685833,0.355235,0.55539155
19686703,0.360395,0.55539155
20688050,0.341584,0.55539155
21688961,0.349668,0.55539155
22689725,0.363231,0.55539155
23691247,0.357822,0.55539155
24693904,0.355055,0.55539155
25695491,0.358442,0.55539155
26696312,0.343733,0.55539155
27697444,0.348609,0.55539155
28698153,0.357947,0.55539155
29697681,0.346449,0.55539155
30698673,0.359911,0.55539155
31699953,0.342781,0.55539155
32700910,0.349102,0.55539155
33701703,0.362788,0.55539155
34702135,0.575979,0.55539155
35702758,0.35946,0.55539155
36703883,0.359133,0.55539155
37704859,0.338924,0.55539155
38705758,0.34735,0.55539155
39706710,0.370313,0.55539155
40708002,0.35424,0.55539155
41708793,0.349513,0.55539155
42710302,0.346609,0.55539155
43711528,0.344163,0.55539155
44713619,0.349376,0.55539155
45715315,0.358815,0.55539155
46716248,0.35287,0.55539155
47717142,0.350908,0.55539155
48717993,0.349214,0.55539155
49719025,0.348728,0.5559163
50719993,0.355535,0.5559819
51720724,0.372609,0.5559819
52721944,0.372246,0.5582776
53723486,0.409318,0.5582776
54724106,0.411922,0.5582776
55731511,0.416861,0.5582776
56733797,0.421371,0.5582776
57734688,0.43142,0.5604749
58735873,0.500278,0.56300014
59736676,0.506349,0.56352484
60737866,0.537858,0.56352484
61738806,0.535268,0.56352484
62739832,0.539778,0.56352484
63740744,0.508598,0.56352484
64741763,0.510671,0.56352484
65742798,0.506773,0.56352484
66745033,0.509409,0.56352484
67745719,0.499462,0.56352484
68746110,0.512396,0.56352484
69746673,0.513749,0.56352484
70748124,0.505098,0.56352484
71747943,0.501843,0.56352484
72749337,0.501576,0.56352484
73749914,0.50833,0.56352484
74750711,0.506942,0.56352484
75753461,0.512854,0.56352484
76753906,0.493529,0.56352484
77754777,0.509156,0.56352484
78757707,0.497476,0.56352484
79758674,0.517218,0.56352484
80759709,0.51311,0.56352484
81760673,0.504688,0.56352484
82761804,0.500216,0.56352484
83762673,0.512785,0.56352484
84763739,0.497065,0.56352484
85765909,0.519984,0.56352484
86766676,0.511152,0.56352484
87768123,0.505925,0.56352484
88768958,0.49777,0.56352484
89769673,0.508956,0.56352484
90770745,0.495787,0.56352484
91771865,0.515896,0.56352484
92772925,0.511371,0.56352484
93773794,0.502318,0.56352484
94776126,0.502402,0.56352484
95777057,0.499934,0.56352484
96778247,0.499008,0.56352484
97778967,0.506776,0.56352484
98779745,0.514136,0.56352484
99781165,0.501819,0.56352484
100781759,0.509301,0.56352484
101783056,0.495424,0.56352484
102783858,0.514243,0.56352484
103784871,0.51472,0.56352484
104785673,0.521696,0.56352484
105788113,0.500472,0.56352484
106789051,0.504214,0.56352484
107790226,0.508101,0.56352484
108790814,0.511555,0.56352484
109791994,0.517852,0.56352484
110793036,0.505883,0.56352484
111793936,0.504314,0.56352484
112794938,0.517813,0.56352484
113796112,0.508257,0.56352484
114796779,0.52219,0.56352484
115797821,0.513914,0.56352484
116799537,0.507629,0.56352484
117800715,0.505331,0.56352484
118801995,0.509174,0.56352484
119803074,0.511267,0.56352484
120803758,0.521277,0.56352484
121805180,0.507928,0.56352484
122805703,0.508989,0.56352484
123807930,0.514301,0.56352484
124808813,0.498263,0.56352484
125810224,0.518085,0.56352484
126810944,0.509286,0.56352484
127811868,0.518712,0.56352484
128812775,0.507893,0.56352484
129813675,0.514501,0.56352484
130814675,0.503534,0.56352484
131815877,0.521545,0.56352484
132817123,0.511268,0.56352484
133817850,0.508196,0.56352484
134820365,0.50483,0.56352484
135821126,0.514046,0.56352484
136821862,0.507278,0.56352484
137823131,0.525485,0.56352484
138823977,0.516507,0.56352484
139824786,0.513804,0.56352484
