timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
6277737,inf,1,0,0,0
7278691,inf,1,0,0,0
8280692,inf,1,0,0,0
9280922,inf,1,0,0,0
10282963,inf,1,0,0,0
11301701,inf,1,0,0,0
12320699,inf,1,0,0,0
13323739,inf,1,0,0,0
14326701,inf,1,0,0,0
15328700,inf,1,0,0,0
16347712,inf,1,0,0,0
17365737,inf,1,0,0,0
18366693,inf,1,0,0,0
19368695,inf,1,0,0,0
20370692,inf,1,0,0,0
21372134,inf,1,0,0,0
22389703,inf,1,0,0,0
23390692,inf,1,0,0,0
24411735,inf,1,0,0,0
25413698,inf,1,0,0,0
26416080,inf,1,0,0,0
27434701,inf,1,0,0,0
28453701,inf,1,0,0,0
29473745,inf,1,0,0,0
30474701,inf,1,0,0,0
31475765,inf,1,0,0,0
32476142,inf,1,0,0,0
33494709,inf,1,0,0,0
34512694,inf,1,0,0,0
35512708,inf,1,0,0,0
36514709,inf,1,0,0,0
37535727,inf,1,0,0,0
38537699,inf,1,0,0,0
39554693,inf,1,0,0,0
40574703,inf,1,0,0,0
41575723,inf,1,0,0,0
42578699,inf,1,0,0,0
43580753,inf,1,0,0,0
44600851,inf,1,0,0,0
45617748,inf,1,0,0,0
46618691,inf,1,0,0,0
47621692,inf,1,0,0,0
48622692,inf,1,0,0,0
49642701,inf,1,0,0,0
50643706,inf,1,0,0,0
51661755,inf,1,0,0,0
52662691,inf,1,0,0,0
53664692,inf,1,0,0,0
54682701,inf,1,0,0,0
55688163,inf,1,0,0,0
56689702,inf,1,0,0,0
57710394,inf,1,0,0,0
58715126,inf,1,0,0,0
59717722,inf,1,0,0,0
60723795,inf,1,0,0,0
61737782,inf,1,0,0,0
62738700,inf,1,0,0,0
63743729,inf,1,0,0,0
64763250,inf,1,0,0,0
65782710,inf,1,0,0,0
66788702,inf,1,0,0,0
67789942,inf,1,0,0,0
68798405,inf,1,0,0,0
69814776,inf,1,0,0,0
70815295,inf,1,0,0,0
71820709,inf,1,0,0,0
72826706,inf,1,0,0,0
73833906,inf,1,0,0,0
74844706,inf,1,0,0,0
75862799,inf,1,0,0,0
76883991,inf,1,0,0,0
77902709,inf,1,0,0,0
78917708,inf,1,0,0,0
79921699,inf,1,0,0,0
80928710,inf,1,0,0,0
81931756,inf,1,0,0,0
82948720,inf,1,0,0,0
83949706,inf,1,0,0,0
84961735,inf,1,0,0,0
85965310,inf,1,0,0,0
86965960,inf,1,0,0,0
87985699,inf,1,0,0,0
88989709,inf,1,0,0,0
90000352,inf,1,0,0,0
91003717,inf,1,0,0,0
92017952,inf,1,0,0,0
93035737,inf,1,0,0,0
94036712,inf,1,0,0,0
95037699,inf,1,0,0,0
96055757,inf,1,0,0,0
97062701,inf,1,0,0,0
98066707,inf,1,0,0,0
99072705,inf,1,0,0,0
100092737,inf,1,0,0,0
101100719,inf,1,0,0,0
102113709,inf,1,0,0,0
103118281,inf,1,0,0,0
104135444,inf,1,0,0,0
105136059,inf,1,0,0,0
106136699,inf,1,0,0,0
107145708,inf,1,0,0,0
108155343,inf,1,0,0,0
109175044,inf,1,0,0,0
110179049,inf,1,0,0,0
111179742,inf,1,0,0,0
112182698,inf,1,0,0,0
113194698,inf,1,0,0,0
114202709,inf,1,0,0,0
115207731,inf,1,0,0,0
116211742,inf,1,0,0,0
117213721,inf,1,0,0,0
118233709,inf,1,0,0,0
119242705,inf,1,0,0,0
120254708,inf,1,0,0,0
121274553,inf,1,0,0,0
122292716,inf,1,0,0,0
123311742,inf,1,0,0,0
124313709,inf,1,0,0,0
125321140,inf,1,0,0,0
126324700,inf,1,0,0,0
127342345,inf,1,0,0,0
128343747,inf,1,0,0,0
129363746,inf,1,0,0,0
130369867,inf,1,0,0,0
131379721,inf,1,0,0,0
132382996,inf,1,0,0,0
133400699,inf,1,0,0,0
134406768,inf,1,0,0,0
135412148,inf,1,0,0,0
136418707,inf,1,0,0,0
137427057,inf,1,0,0,0
138427737,inf,1,0,0,0
139445698,inf,1,0,0,0
140447736,inf,1,0,0,0
141465710,inf,1,0,0,0
142476700,inf,1,0,0,0
143483722,inf,1,0,0,0
144487967,inf,1,0,0,0
145508709,inf,1,0,0,0
146514709,inf,1,0,0,0
147516066,inf,1,0,0,0
148529699,inf,1,0,0,0
149539717,inf,1,0,0,0
150540699,inf,1,0,0,0
