timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
5304718,5.0208983,3.3209472,1,0,1,0,1,0,0
5804717,5.082129,3.3177245,1,0,1,0,1,0,0
6314718,5.0966306,3.319336,1,0,1,0,1,0,0
6814718,5.077295,3.3209472,1,0,1,0,1,0,0
7314719,5.082129,3.319336,1,0,1,0,1,0,0
7814718,5.0756836,3.3177245,1,0,1,0,1,0,0
8314718,5.078906,3.319336,1,0,1,0,1,0,0
8814717,5.0950193,3.319336,1,0,1,0,1,0,0
9314717,5.078906,3.319336,1,0,1,0,1,0,0
9814717,5.091797,3.319336,1,0,1,0,1,0,0
10314717,5.0740724,3.319336,1,0,1,0,1,0,0
10814717,5.0740724,3.3177245,1,0,1,0,1,0,0
11314718,5.078906,3.319336,1,0,1,0,1,0,0
11814717,5.0950193,3.319336,1,0,1,0,1,0,0
12314717,5.0740724,3.319336,1,0,1,0,1,0,0
12814717,5.0756836,3.319336,1,0,1,0,1,0,0
13314717,5.0950193,3.319336,1,0,1,0,1,0,0
13814733,5.0756836,3.319336,1,0,1,0,1,0,0
14314717,5.0756836,3.3209472,1,0,1,0,1,0,0
14814720,5.0756836,3.3177245,1,0,1,0,1,0,0
15314717,5.0869627,3.319336,1,0,1,0,1,0,0
15824717,5.093408,3.319336,1,0,1,0,1,0,0
16324717,5.0982423,3.319336,1,0,1,0,1,0,0
16824717,5.0966306,3.3209472,1,0,1,0,1,0,0
17324717,5.078906,3.3209472,1,0,1,0,1,0,0
17824727,5.088574,3.319336,1,0,1,0,1,0,0
18324717,5.0724607,3.3177245,1,0,1,0,1,0,0
18824717,5.064404,3.319336,1,0,1,0,1,0,0
19324717,5.0950193,3.319336,1,0,1,0,1,0,0
19824717,5.093408,3.319336,1,0,1,0,1,0,0
20324717,5.0966306,3.319336,1,0,1,0,1,0,0
20824717,5.0724607,3.319336,1,0,1,0,1,0,0
21324717,5.08374,3.319336,1,0,1,0,1,0,0
21824719,5.093408,3.319336,1,0,1,0,1,0,0
22324717,5.0740724,3.3209472,1,0,1,0,1,0,0
22824717,5.0740724,3.319336,1,0,1,0,1,0,0
23324717,5.0853515,3.319336,1,0,1,0,1,0,0
23824717,5.082129,3.319336,1,0,1,0,1,0,0
24324727,5.0982423,3.319336,1,0,1,0,1,0,0
24824717,5.091797,3.319336,1,0,1,0,1,0,0
25324717,5.078906,3.319336,1,0,1,0,1,0,0
25834718,5.08374,3.3177245,1,0,1,0,1,0,0
26334717,5.077295,3.319336,1,0,1,0,1,0,0
26834717,5.093408,3.3177245,1,0,1,0,1,0,0
27334717,5.0869627,3.3177245,1,0,1,0,1,0,0
27834717,5.082129,3.3177245,1,0,1,0,1,0,0
28334729,5.0756836,3.319336,1,0,1,0,1,0,0
28834717,5.0966306,3.319336,1,0,1,0,1,0,0
29344717,5.088574,3.3209472,1,0,1,0,1,0,0
29844717,5.0901856,3.319336,1,0,1,0,1,0,0
30344717,5.0869627,3.319336,1,0,1,0,1,0,0
30844717,5.0740724,3.319336,1,0,1,0,1,0,0
31344718,5.088574,3.319336,1,0,1,0,1,0,0
31844717,5.0982423,3.3209472,1,0,1,0,1,0,0
32344717,5.0982423,3.319336,1,0,1,0,1,0,0
32844732,5.0708494,3.319336,1,0,1,0,1,0,0
33344717,5.091797,3.319336,1,0,1,0,1,0,0
33844717,5.0740724,3.319336,1,0,1,0,1,0,0
34344717,5.064404,3.3209472,1,0,1,0,1,0,0
34844730,5.0966306,3.3209472,1,0,1,0,1,0,0
35344725,5.091797,3.3177245,1,0,1,0,1,0,0
35844717,5.0756836,3.319336,1,0,1,0,1,0,0
36344717,5.0950193,3.3209472,1,0,1,0,1,0,0
36844717,5.0756836,3.319336,1,0,1,0,1,0,0
37344717,5.0740724,3.319336,1,0,1,0,1,0,0
37844717,5.091797,3.319336,1,0,1,0,1,0,0
38344717,5.078906,3.3177245,1,0,1,0,1,0,0
38854717,5.077295,3.3177245,1,0,1,0,1,0,0
39354728,5.0756836,3.3209472,1,0,1,0,1,0,0
39854717,5.088574,3.319336,1,0,1,0,1,0,0
40354717,5.0724607,3.319336,1,0,1,0,1,0,0
40854717,5.0740724,3.3177245,1,0,1,0,1,0,0
41354718,5.0740724,3.3209472,1,0,1,0,1,0,0
41854718,5.0756836,3.319336,1,0,1,0,1,0,0
42354717,5.0611815,3.319336,1,0,1,0,1,0,0
42854717,5.091797,3.319336,1,0,1,0,1,0,0
43354728,5.0805173,3.3177245,1,0,1,0,1,0,0
43854725,5.0708494,3.3177245,1,0,1,0,1,0,0
44354717,5.091797,3.319336,1,0,1,0,1,0,0
44864765,5.0950193,3.319336,1,0,1,0,1,0,0
45364717,5.0724607,3.3209472,1,0,1,0,1,0,0
45864717,5.0740724,3.319336,1,0,1,0,1,0,0
46364717,5.091797,3.3209472,1,0,1,0,1,0,0
46864717,5.078906,3.319336,1,0,1,0,1,0,0
47364718,5.0740724,3.3161132,1,0,1,0,1,0,0
47864729,5.0724607,3.319336,1,0,1,0,1,0,0
48364718,5.0724607,3.319336,1,0,1,0,1,0,0
48864717,5.0660157,3.3177245,1,0,1,0,1,0,0
49364717,5.093408,3.3209472,1,0,1,0,1,0,0
49864717,5.091797,3.319336,1,0,1,0,1,0,0
50364718,5.0805173,3.319336,1,0,1,0,1,0,0
50864717,5.082129,3.3177245,1,0,1,0,1,0,0
51364718,5.088574,3.319336,1,0,1,0,1,0,0
51874717,5.091797,3.3209472,1,0,1,0,1,0,0
52374717,5.0724607,3.319336,1,0,1,0,1,0,0
52874724,5.078906,3.319336,1,0,1,0,1,0,0
53374717,5.077295,3.3209472,1,0,1,0,1,0,0
53874717,5.078906,3.3177245,1,0,1,0,1,0,0
54374717,5.077295,3.319336,1,0,1,0,1,0,0
54874717,5.078906,3.319336,1,0,1,0,1,0,0
55374717,5.0998535,3.3177245,1,0,1,0,1,0,0
