timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z
52490681,0,0,0,0.00061873,0.00029745,8.63E-05
52522803,0,0,0,0.000679375,0.000292117,6.39E-05
52556688,0,0,0,0.000563654,0.000193462,0.000143525
52590686,0,0,0,0.000700257,0.000303678,-8.89E-05
52624795,0,0,0,0.00071073,0.000293366,9.70E-05
52655798,0,0,0,0.000629153,0.000301988,1.59E-05
52690732,0,0,0,0.000706035,0.00028026,-0.000108355
52723837,0,0,0,0.000692817,0.000252006,0.000128469
52756887,0,0,0,0.000703446,0.000302902,0.000105562
52793741,0,0,0,0.000725371,0.000318252,-0.000120081
52822779,0,0,0,0.000688038,0.000324428,2.52E-05
52855106,0,0,0,0.00068437,0.000316572,8.85E-05
52890778,0,0,0,0.000779781,0.000327081,-0.000113434
52922798,0,0,0,0.000755702,0.000319881,9.79E-05
52956751,0,0,0,0.000733213,0.000337618,1.59E-05
52989814,0,0,0,0.000740894,0.000364006,2.58E-05
53024695,0,0,0,0.000740022,0.000353152,1.35E-05
53055762,0,0,0,0.000787313,0.000334544,3.36E-05
53089822,0,0,0,0.000803523,0.000353201,-0.000111131
53122801,0,0,0,0.000791726,0.000342713,7.76E-05
53160738,0,0,0,0.000814923,0.000356021,-0.000160772
53189788,0,0,0,0.000776178,0.000356623,1.68E-05
53222801,0,0,0,0.000906929,0.00033323,6.59E-05
53255829,0,0,0,0.000842382,0.000377559,-0.000178968
53289732,0,0,0,0.000822888,0.000383429,-9.31E-05
53323204,0,0,0,0.000762855,0.000396812,-3.89E-05
53357739,0,0,0,0.000861828,0.000370411,-0.00016359
53389759,0,0,0,0.000844754,0.000362527,3.14E-05
53422740,0,0,0,0.000874399,0.000296598,-3.04E-05
53455827,0,0,0,0.000753092,0.000405088,1.78E-05
53489764,0,0,0,0.000876154,0.000400924,-4.75E-05
53521875,0,0,0,0.000815402,0.000406843,-3.85E-05
53556773,0,0,0,0.000820972,0.000373883,-0.000279933
53589759,0,0,0,0.000806252,0.000359613,-0.000113942
53622773,0,0,0,0.000660991,0.000372071,-1.55E-05
53657685,0,0,0,0.000885695,0.000426279,-0.000173164
53688757,0,0,0,0.000874544,0.000435293,-1.00E-05
53723430,0,0,0,0.00086146,0.000373285,-3.20E-05
53755925,0,0,0,0.000827884,0.000354091,-3.93E-05
53793743,0,0,0,0.000814102,0.000367795,-2.94E-05
53822734,0,0,0,0.000830552,0.000413986,-3.74E-05
53855910,0,0,0,0.000915916,0.000431501,-0.000208844
53890737,0,0,0,0.000956412,0.000431193,-5.11E-05
53924238,0,0,0,0.000880607,0.000421757,2.48E-05
53959723,0,0,0,0.000959348,0.000426788,-2.20E-05
53989796,0,0,0,0.000913551,0.000426183,-2.94E-05
54023964,0,0,0,0.000951552,0.00042364,-2.10E-05
54055925,0,0,0,0.00091103,0.000440122,-0.000188554
54091814,0,0,0,0.000903111,0.000428039,-1.71E-05
54122791,0,0,0,0.000838629,0.000431244,9.56E-06
54161691,0,0,0,0.00093539,0.000439158,-0.000183836
54192686,0,0,0,0.000953933,0.000438055,-1.03E-05
54222731,0,0,0,0.00095757,0.000457767,-0.000201191
54255909,0,0,0,0.000933122,0.000450515,-0.00018708
54291728,0,0,0,0.000926558,0.000437324,-2.11E-05
54322777,0,0,0,0.000962165,0.000418368,-0.000190923
54357769,0,0,0,0.000991236,0.000404441,-5.31E-06
54391874,0,0,0,0.000898291,0.000488853,-5.50E-05
54422742,0,0,0,0.000891281,0.000478844,2.45E-05
54455868,0,0,0,0.000843382,0.000398241,2.37E-05
54489755,0,0,0,0.000922518,0.00038854,-2.67E-05
54522797,0,0,0,0.000916913,0.000421199,-0.000108126
54565710,0,0,0,0.000985478,0.000442618,-7.39E-05
54589045,0,0,0,0.00098321,0.000426346,-6.19E-05
54622751,0,0,0,0.00096039,0.000407079,-0.000196079
54655861,0,0,0,0.00096669,0.00040866,-0.000194929
54688741,0,0,0,0.000933373,0.000395239,-3.24E-05
54722772,0,0,0,0.000928673,0.000422952,-0.000320243
54759870,0,0,0,0.000892261,0.000423207,-0.000181816
54790789,0,0,0,0.000926052,0.000434465,-0.000205386
54822741,0,0,0,0.000903316,0.000449895,-0.000274434
54855878,0,0,0,0.000770963,0.000465896,-0.000123268
54888740,0,0,0,0.000918851,0.000436908,-0.00012255
54922743,0,0,0,0.000951611,0.000432966,-6.08E-05
54955926,0,0,0,0.000968132,0.000430869,-7.61E-05
54990717,0,0,0,0.000943955,0.000397575,-0.000308407
55022801,0,0,0,0.000938747,0.000443577,-0.000313855
55058738,0,0,0,0.000928617,0.00045231,-0.000234169
55088849,0,0,0,0.001034807,0.000475813,9.34E-06
55122954,0,0,0,0.000980252,0.000458921,-0.000235994
55156857,0,0,0,0.000982537,0.00047094,-0.000100848
55190690,0,0,0,0.000992618,0.000475031,-0.000226453
55222766,0,0,0,0.000991843,0.000484745,-0.000235189
55256292,0,0,0,0.001006255,0.000506217,-0.000113652
55290745,0,0,0,0.000971722,0.000471526,-5.89E-05
55324526,0,0,0,0.000942895,0.000453973,2.27E-06
55356351,0,0,0,0.000870979,0.000468279,-7.88E-05
55388996,0,0,0,0.000888389,0.000465281,-8.93E-05
55422750,0,0,0,0.000950734,0.000455963,-0.000298548
55456742,0,0,0,0.000949332,0.000444741,-0.000185018
55490709,0,0,0,0.000956241,0.000455346,-0.000302105
55522766,0,0,0,0.000960634,0.000459,-0.000307068
55556363,0,0,0,0.000930644,0.000457684,-0.00016442
55590732,0,0,0,0.000971657,0.000447174,-0.00018151
55622754,0,0,0,0.000952554,0.000444588,-0.000299629
55656234,0,0,0,0.000945091,0.00044027,-0.0001228
55690690,0,0,0,0.000970473,0.000449048,-0.000317141
55726682,0,0,0,0.00099888,0.000444403,-0.000178528
55756933,0,0,0,0.000952096,0.000444816,-4.18E-05
55790696,0,0,0,0.000966822,0.000450833,-0.000314005
55822732,0,0,0,0.000942862,0.000430881,-0.000159697
55856216,0,0,0,0.000960969,0.000430674,-0.0001744
55894943,0,0,0,0.000982888,0.000437411,-0.000235896
55922790,0,0,0,0.000980286,0.000434979,-0.00029108
55959750,0,0,0,0.00096444,0.000423137,-0.000117546
55990722,0,0,0,0.000959015,0.000434714,-0.00032145
56022793,0,0,0,0.000910888,0.000414102,-0.000167138
56057740,0,0,0,0.000994993,0.000429557,-0.00031636
56089119,0,0,0,0.000975357,0.000442663,-0.000313995
56125592,0,0,0,0.00095234,0.000447706,-0.000156718
56157147,0,0,0,0.000967079,0.000454703,-0.000154346
56189734,0,0,0,0.001006655,0.000446363,-0.000170536
56223812,0,0,0,0.000871171,0.000448196,-0.00012175
56255816,0,0,0,0.000957706,0.000458029,-0.000300038
56291907,0,0,0,0.0009239,0.000439307,-0.000156218
56322740,0,0,0,0.000968138,0.000444269,-0.000160016
56355766,0,0,0,0.000945132,0.000440654,-0.000158232
56393024,0,0,0,0.000947674,0.000470594,-0.000188883
56423849,0,0,0,0.001005312,0.000457809,-0.000150414
56458694,0,0,0,0.001003224,0.000459534,-0.00030285
56489763,0,0,0,0.001060583,0.000470463,-0.000185467
56522971,0,0,0,0.001081903,0.000467441,5.52E-05
56555832,0,0,0,0.001028243,0.000484045,-0.000236102
56589734,0,0,0,0.001014379,0.000471924,-0.00020459
56623698,0,0,0,0.000963832,0.00045372,1.04E-06
56655935,0,0,0,0.001032028,0.000459969,-0.00024099
56689822,0,0,0,0.000973883,0.00044702,-0.00035243
56723754,0,0,0,0.000953936,0.000445499,-0.000282131
56757692,0,0,0,0.000996524,0.000451763,-0.000293277
56789798,0,0,0,0.001000908,0.000453178,-4.63E-05
56822751,0,0,0,0.001043209,0.000465621,8.83E-05
56856989,0,0,0,0.00095202,0.000453796,-0.000174279
56888997,0,0,0,0.000995385,0.000453648,-0.000323205
56922753,0,0,0,0.00098325,0.0004401,-0.000304294
56957849,0,0,0,0.000985548,0.000442515,-0.000159366
56991750,0,0,0,0.001004486,0.000456394,-0.00019734
57023855,0,0,0,0.001008721,0.000412578,-0.000148348
57055753,0,0,0,0.000997884,0.000463151,-0.000320384
57089004,0,0,0,0.001014485,0.000454077,-0.000310793
57122802,0,0,0,0.001025147,0.000443035,-0.000111893
57155762,0,0,0,0.00099204,0.0004503,-6.23E-05
57191696,0,0,0,0.00100164,0.000455389,-0.000184885
57223769,0,0,0,0.000937307,0.000469935,-0.000242364
57256974,0,0,0,0.001012545,0.000467372,-0.000157702
57291757,0,0,0,0.000989371,0.000436312,-0.000117422
57323694,0,0,0,0.001046117,0.000506244,4.10E-05
57357589,0,0,0,0.001019978,0.000456615,-0.000218114
57398601,0,0,0,0.001025268,0.000450904,-5.86E-05
57424712,0,0,0,0.001038532,0.000482348,-0.000123517
57456731,0,0,0,0.001034081,0.000454056,-0.000217967
57489804,0,0,0,0.001058985,0.000444718,-5.38E-05
57522827,0,0,0,0.001046925,0.000467624,-0.00026594
57558302,0,0,0,0.00105774,0.000472084,-0.000177547
57590223,0,0,0,0.001041877,0.000474808,-0.000108166
57623914,0,0,0,0.001049635,0.00048151,-0.000137112
57655865,0,0,0,0.00101941,0.000460292,-0.000244779
57689921,0,0,0,0.000942803,0.000457914,-0.000151433
57722255,0,0,0,0.000914663,0.0004398,-0.000291331
57755829,0,0,0,0.001005188,0.000452758,-0.000185821
57790457,0,0,0,0.000922032,0.00042825,-0.000152989
57824697,0,0,0,0.001012605,0.000420618,-0.000213091
57855873,0,0,0,0.001006743,0.000429314,-0.000303309
57889956,0,0,0,0.001037757,0.000422701,-0.000184568
57922971,0,0,0,0.000993822,0.000435304,-0.000304116
57955836,0,0,0,0.00098521,0.000425576,-0.000294095
57995830,0,0,0,0.000968554,0.000421934,-0.000132858
58023045,0,0,0,0.001022444,0.000445174,-0.00032527
58055934,0,0,0,0.001008565,0.000447714,-0.000317094
58091726,0,0,0,0.00101074,0.000453306,-0.000186991
58123731,0,0,0,0.001011084,0.000429901,-0.000314066
58155833,0,0,0,0.00100301,0.000429242,-0.000208949
58190239,0,0,0,0.000964495,0.000438918,-0.000181175
58223909,0,0,0,0.00099511,0.00045027,-0.000209595
58256830,0,0,0,0.001014083,0.000456037,-0.000169325
58289938,0,0,0,0.001046494,0.000473816,-0.00016232
58322808,0,0,0,0.000981272,0.000434479,-0.000286136
58355256,0,0,0,0.001008129,0.000424382,-0.000309948
58393777,0,0,0,0.000998133,0.000430669,-0.0003083
58423257,0,0,0,0.001001229,0.000422444,-0.000304926
58455889,0,0,0,0.000987271,0.000404055,-0.000182774
58488829,0,0,0,0.000997973,0.000429354,-0.000320271
58523724,0,0,0,0.000999364,0.000422702,-0.000317298
58556765,0,0,0,0.001016336,0.000422523,-0.000223197
58589796,0,0,0,0.001008263,0.000428613,-0.000297453
58623265,0,0,0,0.001001969,0.000417954,-0.000170097
58657846,0,0,0,0.000944182,0.000397395,-0.000147634
58688742,0,0,0,0.001013035,0.000412289,-0.000231177
58723018,0,0,0,0.000982087,0.000400071,-0.00018994
58755268,0,0,0,0.001024298,0.0004449,-0.000142602
58791235,0,0,0,0.000994945,0.000426209,-0.000161751
58825700,0,0,0,0.001006401,0.000444385,-0.000236243
