timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
58346393,30.787206661383834,103.85864419803943,-0.056936964,-0.0,-0.014380316,-0.005172485,0.041377664,0.16782987,0.017010804,0.24748285,0.0,3,0,0,0
58350373,30.787206659573176,103.85864419806941,-0.057623304,-0.0,-0.015269643,-0.0053969086,0.041442603,0.16784605,0.017386585,0.24760982,0.0,3,0,0,0
58554368,30.787206578280234,103.85864418577063,-0.09658862,-0.0,-0.041715268,-0.010123141,0.05737815,0.16789824,0.016915176,0.22869025,0.0,3,0,0,0
58758364,30.78720648263808,103.858644170704,-0.018677654,-0.0,-0.056796484,-0.012880317,0.023392826,0.16564721,0.015999615,0.21383025,0.0,3,0,0,0
58958374,30.787206416600185,103.85864419017935,0.030111453,-0.0,-0.05909798,-0.0065244427,-0.0020605642,0.16300166,0.01576739,0.19953384,0.0,3,0,0,0
59158381,30.787206376175824,103.85864421115481,0.032481924,-0.0,-0.056433354,-0.0027340674,-0.006787992,0.16052741,0.015545653,0.18951342,0.0,3,0,0,0
59362419,30.787206369142925,103.85864423481402,0.0015740368,-0.0,-0.04744959,-0.0009251633,0.006065582,0.15903738,0.015954103,0.1803881,0.0,3,0,0,0
59566449,30.78720635613541,103.85864420674595,0.004915135,-0.0,-0.04615873,-0.010854931,-0.0027860622,0.15693723,0.015508325,0.17237431,0.0,3,0,0,0
59767209,30.78720635428008,103.85864416037214,0.0067341826,-0.0,-0.03932072,-0.018723462,-0.0064022588,0.15514499,0.015418023,0.16601409,0.0,3,0,0,0
59967205,30.787206367367776,103.85864412867733,0.020385815,-0.0,-0.03084631,-0.018918404,-0.01816659,0.15438138,0.015344669,0.160509,0.0,3,0,0,0
60171291,30.787206385537615,103.85864411374297,0.01899686,-0.0,-0.023003204,-0.016640117,-0.021578893,0.1547771,0.01530787,0.15573704,0.0,3,0,0,0
60375220,30.787206415440078,103.85864413387719,0.014452217,-0.0,-0.014703395,-0.0074927327,-0.023216568,0.15543129,0.014133302,0.14958851,0.0,3,0,0,0
60575219,30.787206448864293,103.85864417810568,0.005675012,-0.0,-0.006256692,0.0022209203,-0.020720547,0.15609735,0.014110366,0.14599605,0.0,3,0,0,0
60775249,30.787206505744894,103.8586442198585,0.0008575488,-0.0,0.0068003912,0.0061331363,-0.021957025,0.15659635,0.015427608,0.14444874,0.0,3,0,0,0
60979967,30.787206554807042,103.85864424665063,0.0137017025,-0.0,0.013300002,0.0073221726,-0.034151684,0.15662599,0.01410008,0.1398032,0.0,3,0,0,0
61183962,30.787206609158535,103.85864425028505,0.022220094,-0.0,0.021353865,0.0036419553,-0.041567177,0.15664074,0.014200369,0.1371639,0.0,3,0,0,0
61387973,30.787206660275437,103.85864425320474,0.032862443,-0.0,0.026906563,0.0039438815,-0.050038524,0.15677305,0.014201771,0.13500215,0.0,3,0,0,0
61587982,30.78720671504555,103.85864426868508,0.036196608,-0.0,0.032357287,0.0065656486,-0.049181554,0.15708563,0.014194913,0.13298698,0.0,3,0,0,0
61792782,30.78720672961063,103.85864428140857,0.018052699,-0.0,0.026598398,0.008299344,-0.030552903,0.15781009,0.0143157,0.13088624,0.0,3,0,0,0
61996762,30.78720671236219,103.85864428846924,-0.0030398676,-0.0,0.017341541,0.0075540715,-0.013838252,0.15842183,0.013970842,0.12916502,0.0,3,0,0,0
62196790,30.78720668615105,103.85864429574126,-0.024048045,-0.0,0.012228549,0.0076012663,0.0010477694,0.15882239,0.013977937,0.12754416,0.0,3,0,0,0
62400861,30.787206664026094,103.85864429504744,-0.018359033,-0.0,0.009694059,0.0055314056,-0.01280683,0.15874518,0.014092784,0.12583072,0.0,3,0,0,0
62604840,30.787206652755437,103.85864428871149,-0.008883293,-0.0,0.008407285,0.004250115,-0.02369869,0.15861613,0.014100445,0.124178305,0.0,3,0,0,0
62808757,30.78720663086738,103.8586442784989,-0.0026457845,-0.0,0.0051561985,0.0019015531,-0.028820228,0.15857045,0.01423205,0.12245017,0.0,3,0,0,0
63008762,30.787206625080227,103.8586442691045,0.011971897,-0.0,0.006249523,0.00093500124,-0.043266427,0.15846315,0.014231635,0.121431485,0.0,3,0,0,0
63213617,30.787206644565526,103.85864426936593,0.018572235,-0.0,0.011773144,0.00059746753,-0.043009747,0.15858743,0.014231054,0.12025231,0.0,3,0,0,0
63417558,30.787206645047252,103.85864425495963,0.018295938,-0.0,0.009192532,-0.0013833621,-0.03632827,0.15881272,0.014384331,0.118983515,0.0,3,0,0,0
63617578,30.787206649669173,103.85864423411445,0.023786847,-0.0,0.010084739,-0.0048411437,-0.038188618,0.15904547,0.014366876,0.11772378,0.0,3,0,0,0
63817589,30.787206660474006,103.85864419079645,0.03800363,-0.0,0.010730314,-0.010612281,-0.04731538,0.15909158,0.014369839,0.11672921,0.0,3,0,0,0
64021588,30.7872066593479,103.85864415313935,0.038044203,-0.0,0.008288697,-0.0127709545,-0.037500348,0.15920563,0.014372804,0.115591034,0.0,3,0,0,0
64226401,30.787206663096075,103.85864412886303,0.034622584,-0.0,0.008431835,-0.0129737295,-0.029513082,0.15943916,0.014105029,0.114560015,0.0,3,0,0,0
64426376,30.787206656809364,103.85864411450144,0.02996901,-0.0,0.005792968,-0.012217397,-0.024370441,0.15951535,0.014094641,0.11371389,0.0,3,0,0,0
64630426,30.787206631208036,103.85864409834316,0.030141965,-0.0,0.0003372141,-0.012167926,-0.022786725,0.15947647,0.014096025,0.112727664,0.0,3,0,0,0
64834365,30.787206601401138,103.85864409609209,0.030695692,-0.0,-0.004199082,-0.008435635,-0.021838691,0.1594613,0.014239038,0.111839294,0.0,3,0,0,0
65038379,30.78720656595033,103.8586441089091,0.030699024,-0.0,-0.008024575,-0.004599248,-0.02104969,0.15949859,0.014230018,0.11093999,0.0,3,0,0,0
65238378,30.787206543519915,103.85864412638823,0.038584247,-0.0,-0.007873473,-0.0012138087,-0.030200426,0.15950939,0.014249264,0.11008416,0.0,3,0,0,0
65443204,30.787206535003246,103.85864414617,0.048673335,-0.0,-0.005996593,0.0005809708,-0.037218474,0.15945289,0.014382191,0.1094783,0.0,3,0,0,0
65647207,30.787206537196006,103.85864416872518,0.049108524,-0.0,-0.0034017283,0.003370806,-0.028534256,0.15949428,0.014384146,0.10869505,0.0,3,0,0,0
65847210,30.787206550142734,103.85864418694757,0.037512116,-0.0,0.0014568919,0.0043963115,-0.011704042,0.15949418,0.01434357,0.107940644,0.0,3,0,0,0
66051225,30.78720658304898,103.85864419993638,0.025818007,-0.0,0.008186052,0.0054484494,-0.0020094947,0.15945154,0.014491619,0.10742458,0.0,3,0,0,0
66255207,30.78720662174605,103.85864421135966,0.018256655,-0.0,0.013048052,0.005641959,0.0020268245,0.15943182,0.014504233,0.106730565,0.0,3,0,0,0
66459251,30.787206650845036,103.8586442251614,0.009202782,-0.0,0.013488968,0.007219329,0.009395467,0.15937641,0.014238646,0.106119,0.0,3,0,0,0
66659982,30.787206665827394,103.85864423618585,0.005589743,-0.0,0.012771298,0.0073096403,0.00654703,0.1592905,0.014183765,0.105480395,0.0,3,0,0,0
66863974,30.787206665520426,103.85864423878212,0.018737035,-0.0,0.010840213,0.006262579,-0.012179331,0.15918516,0.014196116,0.10487668,0.0,3,0,0,0
67067976,30.78720666388504,103.85864423833323,0.028432738,-0.0,0.010720952,0.0054457495,-0.018199135,0.15916647,0.014270609,0.10448185,0.0,3,0,0,0
67267993,30.78720667421104,103.8586442569703,0.02696175,-0.0,0.012477573,0.008861383,-0.009432023,0.15912403,0.014276756,0.104052514,0.0,3,0,0,0
67468812,30.787206690146455,103.85864427836489,0.018059542,-0.0,0.012990664,0.009715403,0.0013774383,0.15898773,0.014222261,0.10350096,0.0,3,0,0,0
67672819,30.787206698376103,103.85864429536443,0.018483518,-0.0,0.0113702025,0.010369947,-0.0044988124,0.15875655,0.014299106,0.10311447,0.0,3,0,0,0
67876759,30.787206699265074,103.85864430732828,0.027196579,-0.0,0.009195805,0.009281586,-0.016384458,0.15865864,0.014481383,0.10279242,0.0,3,0,0,0
68076765,30.787206704925698,103.85864430155645,0.03864945,-0.0,0.009649097,0.0053866385,-0.0273367,0.15861411,0.014480153,0.102428444,0.0,3,0,0,0
68280761,30.78720670930601,103.85864428694997,0.048978284,-0.0,0.008589663,0.0029172362,-0.032425392,0.15856814,0.014489243,0.101950556,0.0,3,0,0,0
68484813,30.78720670767273,103.85864428587462,0.054836437,-0.0,0.0068281167,0.0048304773,-0.031746577,0.15843807,0.014605729,0.10154524,0.0,3,0,0,0
68685575,30.78720670082455,103.85864429930794,0.04659559,-0.0,0.0047283648,0.006836907,-0.0137567865,0.15837368,0.0146346055,0.101102486,0.0,3,0,0,0
68885563,30.787206684746543,103.85864429686274,0.0342098,-0.0,0.00014845599,0.0028301526,0.0011256738,0.15845807,0.014632103,0.10080692,0.0,3,0,0,0
69089604,30.787206658552268,103.85864426822818,0.030046059,-0.0,-0.0035755248,-0.00257706,-0.001999686,0.15830597,0.014618242,0.10039575,0.0,3,0,0,0
