timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
5308752,0.11413602,0.0051704324,0.101847455
5512846,0.117398866,0.0058331294,0.10007787
5716785,0.102741644,0.0052275215,0.101011015
5916775,0.11726799,0.006040149,0.101039514
6120776,0.106784314,0.0060291057,0.10118887
6325619,0.11087517,0.0050144475,0.10111095
6525642,0.10398317,0.006075876,0.100725785
6725626,0.117062524,0.006776774,0.10242207
6929622,0.10741651,0.0056357277,0.1048924
7133644,0.106675915,0.005805098,0.1012276
7334451,0.12148889,0.0063431775,0.10176714
7538432,0.113848515,0.0057050926,0.10218346
7742437,0.11628756,0.006264278,0.10147204
7946442,0.1042084,0.0064717885,0.10165769
8146453,0.10750574,0.0054192813,0.10062258
8350451,0.10975129,0.0074714585,0.10193016
8555396,0.10203295,0.0064333277,0.10157259
8755281,0.10658043,0.0056756646,0.10056448
8959233,0.11091796,0.007383583,0.100816645
9163295,0.098738484,0.0061231377,0.10096988
9367239,0.115005,0.0061299833,0.10176237
9568068,0.11178697,0.00700394,0.10146547
9772043,0.1109382,0.006109739,0.1015264
9976053,0.10433798,0.0058727656,0.10115392
10176075,0.10288205,0.006058059,0.10159293
10380838,0.11044789,0.0062582893,0.100315414
10584967,0.09882182,0.0064242217,0.10361067
10784929,0.11213987,0.005016009,0.10222076
10988944,0.10717265,0.0064737196,0.10236204
11192833,0.10832615,0.0065919063,0.1005846
11396834,0.11689637,0.0065203626,0.10161522
11596856,0.09938911,0.0064076544,0.10277243
11801642,0.11301653,0.006412118,0.10313655
12005635,0.10654184,0.005033346,0.100365564
12209629,0.10719135,0.005816968,0.10408344
12409665,0.112910666,0.005763411,0.10289068
12613776,0.09799602,0.0062286896,0.10231607
12818452,0.1133507,0.0066254316,0.10139425
13018432,0.109390184,0.0067171445,0.101405844
13222432,0.096382216,0.00538443,0.10240705
13426416,0.113326915,0.006893768,0.102499515
13630459,0.103398144,0.007059106,0.10056595
13830447,0.10963194,0.0063507785,0.10158718
14035238,0.1045014,0.0066938703,0.102325365
14239276,0.11153217,0.006050632,0.10177121
14439296,0.10008002,0.006701355,0.10140468
14643303,0.11242222,0.007039648,0.10265642
14847294,0.10001344,0.0065511838,0.10270912
15048009,0.1197247,0.0069310735,0.10128788
15252081,0.11735966,0.0068903533,0.10126364
15456030,0.11294105,0.006883746,0.10043671
15660049,0.106273375,0.0071878284,0.10105848
15860028,0.10698671,0.0065799663,0.10149938
16064893,0.11605821,0.0065466347,0.10160015
16268830,0.11443809,0.006434442,0.10258414
16468883,0.11142792,0.0061844806,0.10153155
16672863,0.114548355,0.005965906,0.102033205
16876860,0.1048576,0.005798873,0.10274728
17080833,0.12139038,0.006306027,0.099635705
17281628,0.108649604,0.0058180178,0.100979865
17485628,0.103455916,0.0070841387,0.10207836
17689621,0.11155924,0.005902877,0.10197186
17893637,0.10492183,0.0061769965,0.100477755
18093715,0.10377592,0.0063644666,0.10046006
18297652,0.109718874,0.0055357907,0.10163368
18502429,0.10798099,0.006565574,0.10233568
18702431,0.10546475,0.0056462022,0.10182825
18906472,0.09954433,0.0059044864,0.102670245
19110562,0.11167174,0.0067411815,0.10133518
19314571,0.10813036,0.005591527,0.10216902
19514516,0.09622649,0.0060276636,0.101221114
19719262,0.11181939,0.0055704326,0.10054757
19923276,0.103800334,0.0063154856,0.10103458
20123269,0.11326905,0.0066201594,0.1003396
20327266,0.109144665,0.0069293818,0.10072496
20531352,0.10578561,0.006018141,0.10105197
20732202,0.10424274,0.005840996,0.09883069
20936058,0.1044008,0.0063083204,0.099891625
21140080,0.10584829,0.0060645253,0.10030912
21344059,0.110015824,0.006647567,0.10107261
21545067,0.13142236,0.0058932235,0.100957364
21748820,0.11088019,0.006256291,0.10143085
21952858,0.10643912,0.005549133,0.102105424
22152975,0.11720371,0.0061375634,0.10046169
22356852,0.10911016,0.006250233,0.10061982
22560862,0.10986349,0.0066974866,0.10008144
22764959,0.113090284,0.0052259834,0.101507895
22965725,0.10659936,0.006824008,0.100746304
23169652,0.11659998,0.0067487713,0.10004573
23373706,0.11161885,0.006813124,0.10000259
23577651,0.104514234,0.0058379974,0.10177463
23777625,0.101134114,0.006151211,0.10045299
23981642,0.1091541,0.0063230847,0.10348776
24186432,0.1125178,0.0063435747,0.10157942
24386454,0.11345377,0.0058137444,0.10077556
24590470,0.104814395,0.006935866,0.10183844
24794421,0.1258734,0.0059791654,0.100419775
24998430,0.10692188,0.005982027,0.1011431
25199287,0.10341149,0.0059216768,0.10192147
25403277,0.10267522,0.0073586805,0.10052001
25607371,0.10697067,0.006378261,0.10092497
25807259,0.11172876,0.0058747865,0.100642264
26011251,0.1190509,0.006904911,0.102436975
26215247,0.11602303,0.0057282397,0.10066585
26416032,0.11461989,0.0066987444,0.10080699
26620012,0.103116795,0.0055321003,0.10114572
26824059,0.11011403,0.005144874,0.103053816
27028035,0.10655113,0.006688088,0.10282528
27228842,0.10459101,0.0056629973,0.10146489
27433032,0.10143231,0.0061005866,0.10271765
27636861,0.11053162,0.006199866,0.10310252
