timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
58269589,0.00024819263,-0.0140289925,-0.06074875,-0.0002451014,0.00013037262,0.19537354,0.0,0.0,0.0,0.008489117,0.0,0.0,0.0,0.0,0.0,0.0052036033,0.0052036466,0.0043437113,0.0009900196,0.0009900196,4.065549,0.0,0.0,0.0,0.09152481,0.0,0.0,0.0,0.0,0.0,0.005994709,0.040290456,0.075944744,0.0,0.0,0.0,0.0,0.0,0.0
58273561,0.00024819263,-0.0140289925,-0.06074875,-0.0002451014,0.00013037262,0.19537354,0.0,0.0,0.0,0.008489117,0.0,0.0,0.0,0.0,0.0,0.0052036033,0.0052036466,0.0043437113,0.0009900196,0.0009900196,4.065549,0.0,0.0,0.0,0.09152481,0.0,0.0,0.0,0.0,0.0,0.005994709,0.040290456,0.075944744,0.0,0.0,0.0,0.0,0.0,0.0
58478349,-0.0073041543,0.0029602784,-0.036422208,-0.0005574428,-1.2386037e-05,0.013061523,0.0,0.0,0.0,0.009261802,0.0,0.0,0.0,0.0,0.0,0.0037861788,0.0037862323,0.0047492334,0.0009918202,0.0009918204,4.054523,0.0,0.0,0.0,0.09146265,0.0,0.0,0.0,0.0,0.0,0.001726434,0.039351217,0.08135512,0.0,0.0,0.0,0.0,0.0,0.0
58682372,-0.019326268,-0.0027769597,0.22862533,-0.00063787174,-5.4843113e-05,-0.1237793,0.0,0.0,0.0,0.0054394454,0.0,0.0,0.0,0.0,0.0,0.0030897623,0.0030897935,0.0050329724,0.0009901035,0.0009901036,4.0471797,0.0,0.0,0.0,0.0914036,0.0,0.0,0.0,0.0,0.0,0.0060002645,0.019002553,0.06567804,0.0,0.0,0.0,0.0,0.0,0.0
58882397,-0.032459423,-0.03437321,0.020984102,-0.0006579165,0.00026587455,-0.21087646,0.0,0.0,0.0,0.029783145,0.0,0.0,0.0,0.0,0.0,0.0026864975,0.0026865066,0.0051081562,0.0009884269,0.0009884269,4.0412335,0.0,0.0,0.0,0.091355,0.0,0.0,0.0,0.0,0.0,0.006790614,0.024306972,0.009965659,0.0,0.0,0.0,0.0,0.0,0.0
59086393,-0.020242026,0.008202898,-0.038597785,-0.0007669559,8.3525374e-05,-0.083618164,0.0,0.0,0.0,0.020526156,0.0,0.0,0.0,0.0,0.0,0.0025883797,0.0025883575,0.005175068,0.0009858775,0.0009858774,4.036661,0.0,0.0,0.0,0.09130991,0.0,0.0,0.0,0.0,0.0,0.0054943496,0.032394715,0.050138764,0.0,0.0,0.0,0.0,0.0,0.0
59290390,-0.041493177,-0.0076235877,-0.0688694,-0.00035081274,0.0001001879,-0.076538086,0.0,0.0,0.0,0.010445371,0.0,0.0,0.0,0.0,0.0,0.002527843,0.0025278202,0.0051793465,0.0009836203,0.0009836202,4.0331054,0.0,0.0,0.0,0.09126781,0.0,0.0,0.0,0.0,0.0,0.0040900526,0.046525437,0.08296235,0.0,0.0,0.0,0.0,0.0,0.0
59494420,0.018857386,0.04440175,0.081954494,-0.0009385281,-0.00038000793,0.28173828,0.0,0.0,0.0,0.027564615,0.0,0.0,0.0,0.0,0.0,0.0024719278,0.0024719175,0.0050959927,0.0009863655,0.0009863654,4.030371,0.0,0.0,0.0,0.09122525,0.0,0.0,0.0,0.0,0.0,0.004656195,0.018557929,0.03456152,0.0,0.0,0.0,0.0,0.0,0.0
59695204,-0.033907034,-0.0056767687,-0.0048896093,-0.00078739796,-0.00040746812,-0.07006836,0.0,0.0,0.0,-0.0023296028,0.0,0.0,0.0,0.0,0.0,0.0024301107,0.0024301212,0.0050795954,0.0009853451,0.0009853451,4.0280976,0.0,0.0,0.0,0.09119561,0.0,0.0,0.0,0.0,0.0,0.0034738323,0.022267118,0.037057016,0.0,0.0,0.0,0.0,0.0,0.0
59899269,-0.025613235,-0.026844278,0.053651698,-0.00048975216,-0.00027196636,0.25811768,0.0,0.0,0.0,0.006341234,0.0,0.0,0.0,0.0,0.0,0.0024224836,0.0024225125,0.0050511546,0.0009840266,0.000984027,4.026209,0.0,0.0,0.0,0.09116037,0.0,0.0,0.0,0.0,0.0,0.002299133,0.016774958,0.022122994,0.0,0.0,0.0,0.0,0.0,0.0
60103286,-0.0075111985,-0.009912649,-0.024199538,-0.00043318956,-0.0002402128,-0.07513428,0.0,0.0,0.0,-0.0024861693,0.0,0.0,0.0,0.0,0.0,0.0023796654,0.0023797136,0.004988056,0.0009834473,0.0009834479,4.024557,0.0,0.0,0.0,0.09112473,0.0,0.0,0.0,0.0,0.0,0.0014905657,0.021707967,0.041212376,0.0,0.0,0.0,0.0,0.0,0.0
60303201,-0.01562938,-0.028493103,-2.9228087e-05,-0.0002820948,-2.1165644e-05,-0.20477295,0.0,0.0,0.0,-0.0028368086,0.0,0.0,0.0,0.0,0.0,0.0023686525,0.002368704,0.0049540387,0.0009832436,0.0009832445,4.0232134,0.0,0.0,0.0,0.09109379,0.0,0.0,0.0,0.0,0.0,0.001600869,0.022147767,0.040882103,0.0,0.0,0.0,0.0,0.0,0.0
60507230,-0.009385549,-0.018634368,-0.02343207,-0.0001439423,0.00023486576,0.023376465,0.0,0.0,0.0,-0.0024688095,0.0,0.0,0.0,0.0,0.0,0.00234093,0.0023409817,0.0049134633,0.0009832139,0.0009832149,4.022052,0.0,0.0,0.0,0.09106467,0.0,0.0,0.0,0.0,0.0,0.001358129,0.022954646,0.040420674,0.0,0.0,0.0,0.0,0.0,0.0
60711236,-0.034797184,0.008369395,0.010393691,0.00024529512,0.00018324656,0.06555176,0.0,0.0,0.0,-0.0018892586,0.0,0.0,0.0,0.0,0.0,0.002352125,0.0023521658,0.004915005,0.0009825769,0.0009825779,4.021026,0.0,0.0,0.0,0.09103708,0.0,0.0,0.0,0.0,0.0,0.00120617,0.01682867,0.032120157,0.0,0.0,0.0,0.0,0.0,0.0
60911989,0.01973117,0.0071552717,0.06506387,0.00015826686,0.00010009357,-0.17956543,0.0,0.0,0.0,0.0073414147,0.0,0.0,0.0,0.0,0.0,0.0023578794,0.0023579157,0.004914254,0.0009822204,0.0009822216,4.020115,0.0,0.0,0.0,0.091010936,0.0,0.0,0.0,0.0,0.0,0.0007679955,0.00458369,0.0126039395,0.0,0.0,0.0,0.0,0.0,0.0
61111979,-0.013664729,0.014108056,-0.0059808325,0.00043540343,4.142232e-06,0.1706543,0.0,0.0,0.0,-0.00070272386,0.0,0.0,0.0,0.0,0.0,0.002329121,0.0023291581,0.0048870333,0.0009820121,0.0009820131,4.0193105,0.0,0.0,0.0,0.09099403,0.0,0.0,0.0,0.0,0.0,0.00072016945,0.0106410235,0.018760627,0.0,0.0,0.0,0.0,0.0,0.0
61316002,0.005127182,-0.010187683,0.022688579,0.00048844947,0.00010264074,-0.105651855,0.0,0.0,0.0,-0.0017057955,0.0,0.0,0.0,0.0,0.0,0.0023394455,0.0023394988,0.004898688,0.0009813142,0.0009813152,4.01865,0.0,0.0,0.0,0.09097474,0.0,0.0,0.0,0.0,0.0,0.00025729457,0.008925603,0.016460903,0.0,0.0,0.0,0.0,0.0,0.0
61519961,-0.013262309,-0.016787438,-0.027905649,0.00066475105,0.00024907617,0.24505615,0.0,0.0,0.0,0.00789541,0.0,0.0,0.0,0.0,0.0,0.0022945357,0.002294585,0.004864504,0.0009817458,0.0009817469,4.0180926,0.0,0.0,0.0,0.09095346,0.0,0.0,0.0,0.0,0.0,0.0005169957,0.014259615,0.021439333,0.0,0.0,0.0,0.0,0.0,0.0
