timestamp,safety_switch_available,safety_off,override_available,override_enabled
5296017,1,1,0,0
5318107,1,1,0,0
5340026,1,1,0,0
5361995,1,1,0,0
5384009,1,1,0,0
5406107,1,1,0,0
5428019,1,1,0,0
5450102,1,1,0,0
5472015,1,1,0,0
5494112,1,1,0,0
5516010,1,1,0,0
5538101,1,1,0,0
5560014,1,1,0,0
5582102,1,1,0,0
5604020,1,1,0,0
5626111,1,1,0,0
5648019,1,1,0,0
5670098,1,1,0,0
5692018,1,1,0,0
5714120,1,1,0,0
5736010,1,1,0,0
5757995,1,1,0,0
5780028,1,1,0,0
5802111,1,1,0,0
5824015,1,1,0,0
5846108,1,1,0,0
5868016,1,1,0,0
5890100,1,1,0,0
5912026,1,1,0,0
5934105,1,1,0,0
5956021,1,1,0,0
5977995,1,1,0,0
6000016,1,1,0,0
6022104,1,1,0,0
6044016,1,1,0,0
6066105,1,1,0,0
6088019,1,1,0,0
6110106,1,1,0,0
6132021,1,1,0,0
6154114,1,1,0,0
6176043,1,1,0,0
6198113,1,1,0,0
6220029,1,1,0,0
6242123,1,1,0,0
6266118,1,1,0,0
6290108,1,1,0,0
6310116,1,1,0,0
6330120,1,1,0,0
6354125,1,1,0,0
6378120,1,1,0,0
6402118,1,1,0,0
6422116,1,1,0,0
6442117,1,1,0,0
6466114,1,1,0,0
6486118,1,1,0,0
6510125,1,1,0,0
6530117,1,1,0,0
6554133,1,1,0,0
6578120,1,1,0,0
6598119,1,1,0,0
6618120,1,1,0,0
6642120,1,1,0,0
6666121,1,1,0,0
6690122,1,1,0,0
6710120,1,1,0,0
6734128,1,1,0,0
6758120,1,1,0,0
6782122,1,1,0,0
6806121,1,1,0,0
6826121,1,1,0,0
6850116,1,1,0,0
6870118,1,1,0,0
6890118,1,1,0,0
6914125,1,1,0,0
6938119,1,1,0,0
6958121,1,1,0,0
6982118,1,1,0,0
7006135,1,1,0,0
7030117,1,1,0,0
7054120,1,1,0,0
7078118,1,1,0,0
7098118,1,1,0,0
7118119,1,1,0,0
7142123,1,1,0,0
7166119,1,1,0,0
7190117,1,1,0,0
7210118,1,1,0,0
7234124,1,1,0,0
7258118,1,1,0,0
7278817,1,1,0,0
7298941,1,1,0,0
7322824,1,1,0,0
7342830,1,1,0,0
7366809,1,1,0,0
7386949,1,1,0,0
7406826,1,1,0,0
7426831,1,1,0,0
7450818,1,1,0,0
7474953,1,1,0,0
7498818,1,1,0,0
