timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
5300650,17.659565,17.537754,0.0,0.022409948,0.0,0.0039597326,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
5804662,17.691673,17.548483,0.0,0.028770022,0.0,0.008745146,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
6309546,17.499023,17.557693,0.1172,0.027896006,0.0,0.012750392,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
6813571,17.515078,17.564949,0.0,0.023970123,0.0,0.015582554,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
7306325,17.611403,17.568521,0.1465,0.028863432,0.0,0.01980645,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
7810338,17.499023,17.55801,0.0293,0.033807684,0.0,0.024494044,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
8314373,17.627457,17.55889,0.1465,0.036599934,0.0,0.029672172,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
8807187,17.499023,17.556437,0.0586,0.031364586,0.0,0.033388536,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
9311219,17.707727,17.56194,0.0,0.031284165,0.0,0.03768814,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
9815930,17.499023,17.573727,0.0,0.024584461,0.0,0.04032791,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
10307949,17.64351,17.576166,0.0,0.026087167,0.0,0.044039838,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
10812787,17.515078,17.573502,0.0,0.026638392,0.0,0.04785286,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
11316724,17.547186,17.575863,0.0,0.02299164,0.0,0.05068711,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
11809522,17.691673,17.577732,0.0,0.027054459,0.0,0.054785322,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
12313567,17.499023,17.57719,0.1465,0.02347157,0.0,0.057618372,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
12818337,17.48297,17.577326,0.0,0.023802595,0.0,0.061140105,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
13322397,17.499023,17.57013,0.1172,0.029672835,0.0,0.06573151,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
13814373,17.691673,17.57067,0.0,0.028530097,0.0,0.069049954,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
14319162,17.691673,17.56909,0.0293,0.032063074,0.0,0.07407008,1.0,1.0,0.0,4,0,0,0,0,0,1,1,0,0,0
