timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,fix_quality,sacc,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
10747914,0,307872065,1038586442,566012,525733,357609600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.06,0.0,0.0,0.06,-1.5707965,-10747914,6,1,17
10953865,0,307872066,1038586442,566012,525733,357609800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.0,-0.01,-0.01,-1.5707965,-10953865,6,1,17
11141995,0,307872066,1038586442,566014,525735,357610000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.0,0.0,0.02,-1.5707965,-11141995,6,1,17
11353121,0,307872066,1038586442,566012,525733,357610200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.049999997,-0.01,0.0,-0.049999997,-1.5707965,-11353121,6,1,17
11541864,0,307872066,1038586442,566008,525729,357610400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,0.02,0.01,0.03,-1.5707965,-11541864,6,1,17
11748863,0,307872066,1038586442,566009,525730,357610600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,0.03,0.0,-0.02,-1.5707965,-11748863,6,1,17
11937900,0,307872066,1038586442,566006,525727,357610800,0,0,0.0,0.0,0.009000001,0.009000001,0.79999995,1.89,0,0,0.03,0.03,0.01,0.0,-1.5707965,-11937900,6,1,17
12145925,0,307872065,1038586442,566010,525731,357611000,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.089999996,-0.01,0.01,-0.089999996,-1.5707965,-12145925,6,1,17
12354200,0,307872066,1038586442,566006,525727,357611200,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.089999996,0.0,0.0,0.089999996,-1.5707965,-12354200,6,1,17
12542223,0,307872066,1038586442,566008,525729,357611400,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.04,0.0,0.0,-0.04,-1.5707965,-12542223,6,1,17
