timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
52490682,0.0,0.0,0.0,0.9915067,0.013069374,-0.12939675,-0.0003651086,0.0,0.0,0.0,0.0,0
52522804,0.0,0.0,0.0,0.99151003,0.013093808,-0.12936923,-0.0003446493,0.0,0.0,0.0,0.0,0
52556689,0.0,0.0,0.0,0.9915146,0.013054388,-0.12933737,-0.0003650038,0.0,0.0,0.0,0.0,0
52590687,0.0,0.0,0.0,0.9915049,0.01314735,-0.1294023,-0.0003780945,0.0,0.0,0.0,0.0,0
52624795,0.0,0.0,0.0,0.9915048,0.013151217,-0.12940289,-0.00038583204,0.0,0.0,0.0,0.0,0
52655799,0.0,0.0,0.0,0.9914939,0.013169461,-0.1294848,-0.00036530933,0.0,0.0,0.0,0.0,0
52690732,0.0,0.0,0.0,0.9914896,0.013193876,-0.12951441,-0.00033984942,0.0,0.0,0.0,0.0,0
52723837,0.0,0.0,0.0,0.9914878,0.013204402,-0.12952788,-0.0003173652,0.0,0.0,0.0,0.0,0
52756888,0.0,0.0,0.0,0.9914929,0.01320366,-0.12948823,-0.0003327893,0.0,0.0,0.0,0.0,0
52793742,0.0,0.0,0.0,0.9914938,0.013233487,-0.12947848,-0.00034146805,0.0,0.0,0.0,0.0,0
52822779,0.0,0.0,0.0,0.99149203,0.013211889,-0.12949441,-0.00036915884,0.0,0.0,0.0,0.0,0
52855107,0.0,0.0,0.0,0.99149436,0.013218108,-0.12947632,-0.00036860738,0.0,0.0,0.0,0.0,0
52890778,0.0,0.0,0.0,0.9914896,0.013245033,-0.12950994,-0.00042607693,0.0,0.0,0.0,0.0,0
52922799,0.0,0.0,0.0,0.99149394,0.01324094,-0.12947729,-0.00043486874,0.0,0.0,0.0,0.0,0
52956752,0.0,0.0,0.0,0.9914898,0.0132364975,-0.12950869,-0.0004666017,0.0,0.0,0.0,0.0,0
52989815,0.0,0.0,0.0,0.9914805,0.013239717,-0.12957968,-0.0004876966,0.0,0.0,0.0,0.0,0
53024696,0.0,0.0,0.0,0.99148256,0.0132204695,-0.12956549,-0.00047380055,0.0,0.0,0.0,0.0,0
53055763,0.0,0.0,0.0,0.9914841,0.013244977,-0.12955144,-0.00047893566,0.0,0.0,0.0,0.0,0
53089823,0.0,0.0,0.0,0.9914812,0.013275201,-0.12957019,-0.0004619325,0.0,0.0,0.0,0.0,0
53122802,0.0,0.0,0.0,0.9914819,0.013275032,-0.12956461,-0.0004697045,0.0,0.0,0.0,0.0,0
53160738,0.0,0.0,0.0,0.99147326,0.013275918,-0.12963124,-0.0004732703,0.0,0.0,0.0,0.0,0
53189789,0.0,0.0,0.0,0.9914736,0.013276265,-0.1296281,-0.00046897086,0.0,0.0,0.0,0.0,0
53222802,0.0,0.0,0.0,0.99146813,0.013280611,-0.12966973,-0.0004969629,0.0,0.0,0.0,0.0,0
53255830,0.0,0.0,0.0,0.9914737,0.0133113945,-0.12962483,-0.00050079555,0.0,0.0,0.0,0.0,0
53289733,0.0,0.0,0.0,0.9914742,0.013295992,-0.12962174,-0.0005112195,0.0,0.0,0.0,0.0,0
53323204,0.0,0.0,0.0,0.99147177,0.013297692,-0.12964,-0.00052316475,0.0,0.0,0.0,0.0,0
53357740,0.0,0.0,0.0,0.99147934,0.013276191,-0.12958468,-0.00048483245,0.0,0.0,0.0,0.0,0
53389760,0.0,0.0,0.0,0.99148095,0.013281744,-0.12957186,-0.0004784834,0.0,0.0,0.0,0.0,0
53422741,0.0,0.0,0.0,0.991478,0.013269652,-0.12959577,-0.0004845967,0.0,0.0,0.0,0.0,0
53455828,0.0,0.0,0.0,0.99148077,0.013267757,-0.12957416,-0.00049561507,0.0,0.0,0.0,0.0,0
53489764,0.0,0.0,0.0,0.9914783,0.013228089,-0.12959729,-0.0004816407,0.0,0.0,0.0,0.0,0
53521876,0.0,0.0,0.0,0.99147785,0.013223275,-0.1296014,-0.0004711718,0.0,0.0,0.0,0.0,0
53556774,0.0,0.0,0.0,0.9914838,0.013203816,-0.12955837,-0.00046643498,0.0,0.0,0.0,0.0,0
53589760,0.0,0.0,0.0,0.9914862,0.013222604,-0.12953763,-0.0004587021,0.0,0.0,0.0,0.0,0
53622773,0.0,0.0,0.0,0.9914808,0.01321874,-0.12957913,-0.00045175198,0.0,0.0,0.0,0.0,0
53657686,0.0,0.0,0.0,0.9914735,0.0132318875,-0.12963374,-0.00048294105,0.0,0.0,0.0,0.0,0
53688758,0.0,0.0,0.0,0.9914758,0.013231455,-0.12961648,-0.00050125783,0.0,0.0,0.0,0.0,0
53723431,0.0,0.0,0.0,0.9914779,0.013237962,-0.12959963,-0.0005037886,0.0,0.0,0.0,0.0,0
53755926,0.0,0.0,0.0,0.9914786,0.013237767,-0.12959364,-0.00049042143,0.0,0.0,0.0,0.0,0
53793744,0.0,0.0,0.0,0.9914772,0.013258151,-0.12960291,-0.0004718206,0.0,0.0,0.0,0.0,0
53822735,0.0,0.0,0.0,0.99147964,0.013281138,-0.12958194,-0.00048178574,0.0,0.0,0.0,0.0,0
53855911,0.0,0.0,0.0,0.9914894,0.013258285,-0.12950921,-0.00050081674,0.0,0.0,0.0,0.0,0
53890738,0.0,0.0,0.0,0.99149436,0.013242833,-0.12947312,-0.000510446,0.0,0.0,0.0,0.0,0
53924239,0.0,0.0,0.0,0.99148595,0.01324392,-0.12953696,-0.00048323406,0.0,0.0,0.0,0.0,0
53959724,0.0,0.0,0.0,0.99148697,0.013256108,-0.1295281,-0.0004828159,0.0,0.0,0.0,0.0,0
53989797,0.0,0.0,0.0,0.9914817,0.013271737,-0.1295672,-0.0004788125,0.0,0.0,0.0,0.0,0
54023964,0.0,0.0,0.0,0.9914769,0.013254309,-0.12960526,-0.0005064503,0.0,0.0,0.0,0.0,0
54055925,0.0,0.0,0.0,0.9914758,0.013261667,-0.12961303,-0.0005102564,0.0,0.0,0.0,0.0,0
54091815,0.0,0.0,0.0,0.99147666,0.0132631445,-0.1296064,-0.0005019093,0.0,0.0,0.0,0.0,0
54122791,0.0,0.0,0.0,0.991476,0.01327584,-0.12961066,-0.00048101565,0.0,0.0,0.0,0.0,0
54161692,0.0,0.0,0.0,0.9914777,0.013245298,-0.12959991,-0.0005063112,0.0,0.0,0.0,0.0,0
54192686,0.0,0.0,0.0,0.99147516,0.013253974,-0.12961827,-0.00052443147,0.0,0.0,0.0,0.0,0
54222732,0.0,0.0,0.0,0.9914746,0.013238228,-0.12962481,-0.0005112906,0.0,0.0,0.0,0.0,0
54255910,0.0,0.0,0.0,0.9914702,0.013229608,-0.12965918,-0.0004939096,0.0,0.0,0.0,0.0,0
54291729,0.0,0.0,0.0,0.99147224,0.013227691,-0.12964432,-0.0004887978,0.0,0.0,0.0,0.0,0
54322778,0.0,0.0,0.0,0.9914741,0.013217378,-0.12963061,-0.00049987226,0.0,0.0,0.0,0.0,0
54357770,0.0,0.0,0.0,0.9914766,0.013224694,-0.12961061,-0.00050524727,0.0,0.0,0.0,0.0,0
54391875,0.0,0.0,0.0,0.99147934,0.013234886,-0.12958892,-0.0004993491,0.0,0.0,0.0,0.0,0
54422743,0.0,0.0,0.0,0.99147886,0.013245155,-0.1295921,-0.00046240445,0.0,0.0,0.0,0.0,0
54455869,0.0,0.0,0.0,0.99147654,0.013235722,-0.12961052,-0.00048753968,0.0,0.0,0.0,0.0,0
54489756,0.0,0.0,0.0,0.9914724,0.013245715,-0.12964062,-0.00047371315,0.0,0.0,0.0,0.0,0
