timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
5289677,0.33275396,-0.055388633,0.352272
5311706,0.33554843,-0.055388633,0.35545173
5333678,0.33554843,-0.055388633,0.34591264
5355692,0.33554843,-0.055388633,0.34591264
5377674,0.33275396,-0.064914726,0.32683438
5399695,0.33275396,-0.06173936,0.3363735
5421709,0.32995945,-0.06173936,0.33001408
5443689,0.33275396,-0.06173936,0.32683438
5465716,0.33275396,-0.06173936,0.3331938
5487698,0.33275396,-0.064914726,0.3331938
5510680,0.33275396,-0.064914726,0.33001408
5532747,0.32995945,-0.064914726,0.32683438
5554676,0.33275396,-0.06173936,0.32047495
5575689,0.32995945,-0.064914726,0.33001408
5598675,0.33275396,-0.064914726,0.3363735
5619689,0.33275396,-0.06173936,0.33001408
5642682,0.33275396,-0.064914726,0.32365468
5665144,0.32995945,-0.06173936,0.33001408
5687708,0.33275396,-0.064914726,0.3331938
5710676,0.33275396,-0.064914726,0.32365468
5732867,0.32995945,-0.064914726,0.3331938
5755700,0.33275396,-0.064914726,0.3363735
5778673,0.32995945,-0.064914726,0.33001408
5800788,0.33275396,-0.064914726,0.32683438
5822717,0.33275396,-0.064914726,0.33001408
5844832,0.33554843,-0.06173936,0.3331938
5866681,0.33554843,-0.064914726,0.32683438
5888777,0.33275396,-0.064914726,0.32683438
5910698,0.32995945,-0.064914726,0.3395532
5932772,0.33275396,-0.064914726,0.33001408
5954673,0.32995945,-0.064914726,0.33001408
5976788,0.32995945,-0.064914726,0.32683438
5998674,0.33275396,-0.064914726,0.33001408
6020791,0.33275396,-0.064914726,0.32683438
6042680,0.33275396,-0.064914726,0.3331938
6064810,0.33554843,-0.06173936,0.32365468
6086673,0.33275396,-0.06173936,0.3331938
6108775,0.32995945,-0.064914726,0.33001408
6130683,0.33275396,-0.064914726,0.3331938
6152874,0.32995945,-0.064914726,0.33001408
6175820,0.32995945,-0.06173936,0.32683438
6197705,0.33275396,-0.064914726,0.33001408
6219733,0.33275396,-0.064914726,0.33001408
6241682,0.33275396,-0.064914726,0.32683438
6263759,0.33275396,-0.064914726,0.32365468
6285717,0.33275396,-0.064914726,0.33001408
6307715,0.33275396,-0.06173936,0.33001408
6329675,0.33275396,-0.06173936,0.3331938
6351705,0.33275396,-0.064914726,0.33001408
6373715,0.33275396,-0.06173936,0.32683438
6395711,0.33275396,-0.064914726,0.33001408
6417717,0.33554843,-0.06173936,0.33001408
6439699,0.33275396,-0.064914726,0.32683438
6461741,0.33275396,-0.064914726,0.32365468
6483702,0.33275396,-0.064914726,0.32683438
6505703,0.33275396,-0.064914726,0.32683438
6527699,0.33275396,-0.064914726,0.3395532
6549717,0.33275396,-0.06173936,0.3331938
6571704,0.33275396,-0.064914726,0.33001408
6593685,0.33275396,-0.064914726,0.32683438
6615715,0.32995945,-0.064914726,0.3331938
6637676,0.33275396,-0.064914726,0.3331938
6659707,0.33275396,-0.06173936,0.33001408
6681708,0.33275396,-0.06173936,0.32683438
6703703,0.33275396,-0.06173936,0.3331938
6725764,0.33275396,-0.064914726,0.3331938
6747731,0.32995945,-0.064914726,0.3331938
6769719,0.33275396,-0.064914726,0.33001408
6791710,0.33275396,-0.06173936,0.32683438
6813802,0.33275396,-0.064914726,0.3363735
6835708,0.33275396,-0.064914726,0.3363735
6857702,0.33275396,-0.064914726,0.3331938
