timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
6489413,6489237,-0.0005275349,0.00018553092,-0.0013013093,0.0,0.0,0.0,0.0,-1.0
6493415,6493236,-0.0004713517,1.5036683e-05,0.0009708445,0.0,0.0,0.0,0.0,-1.0
6593432,6593238,-0.00066934555,0.00036778202,-0.0011864154,0.0,0.0,0.0,0.0,-1.0
6693439,6693237,-0.00044555138,0.00021395042,0.0004664147,0.0,0.0,0.0,0.0,-1.0
6797367,6797237,-0.00020199837,8.080522e-05,0.0012218674,0.0,0.0,0.0,0.0,-1.0
6897397,6897237,-0.0005208176,-0.00015672305,-0.0006118698,0.0,0.0,0.0,0.0,-1.0
7001407,7001238,-0.0005013077,0.00034547658,-0.0009862679,0.0,0.0,0.0,0.0,-1.0
7101416,7101237,4.332277e-05,0.00018378675,0.0001565344,0.0,0.0,0.0,0.0,-1.0
7201367,7201236,-0.00015097338,5.6582387e-05,-0.0002527457,0.0,0.0,0.0,0.0,-1.0
7302214,7302037,-8.239892e-05,0.00052742154,-0.000985958,0.0,0.0,0.0,0.0,-1.0
7406223,7406037,-0.00019929855,-2.8182578e-05,-0.0015265676,0.0,0.0,0.0,0.0,-1.0
7506201,7506037,-0.00058211334,0.00019971776,0.0013307675,0.0,0.0,0.0,0.0,-1.0
7610217,7610035,9.872223e-05,8.158349e-05,0.0011472605,0.0,0.0,0.0,0.0,-1.0
7710211,7710035,-0.000120643424,-3.754135e-05,-0.001408207,0.0,0.0,0.0,0.0,-1.0
7810221,7810038,-5.511043e-05,-2.9464281e-05,0.0007414937,0.0,0.0,0.0,0.0,-1.0
7914239,7914036,-0.00012842612,-0.00021517531,0.0013184543,0.0,0.0,0.0,0.0,-1.0
8014228,8014037,-0.0001581385,-0.0001642926,-0.00088712043,0.0,0.0,0.0,0.0,-1.0
8114226,8114039,-0.00020369113,0.00032500544,-3.519335e-05,0.0,0.0,0.0,0.0,-1.0
8218198,8218035,-0.00025922107,0.00020819227,0.000572942,0.0,0.0,0.0,0.0,-1.0
