timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
58358375,15543965,30.7872066,103.8586443,0.0063562463,-0.009756345,0.058477875,-0.00095907715,-0.010018757,0.0,-0.016593948,-0.0051751677,0.041849665,-0.10793562,0.030264545,0.009913368,0.05628799,-0.13631101,0.119325235,-0.01800962,0.16782176,0.0,0.16088714,-0.041849665,0.014867116,0.24760976,0.06388541,0.03324271,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
58362374,15543965,30.7872066,103.8586443,0.006289482,-0.009778183,0.058645718,-0.00095907715,-0.010018757,0.0,-0.016779767,-0.0057410756,0.042051088,-0.1077342,0.030264545,0.009913368,0.05628799,-0.04644331,-0.14144161,0.050342903,0.16783784,0.0,0.1607193,-0.042051088,0.014867116,0.24760976,0.06388541,0.03324271,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
58462394,15543965,30.7872066,103.8586443,0.002232724,-0.010286929,0.08081872,-0.00095907715,-0.010018757,0.0,-0.03030565,-0.0075650504,0.050697878,-0.06735546,0.030264545,0.009913368,0.05628799,-0.1353221,0.11457827,-0.012484246,0.16786486,0.0,0.17440864,-0.050697878,0.012908895,0.23325372,0.04789483,0.033090137,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
58566436,15543965,30.7872066,103.8586443,-0.0031415103,-0.010991299,0.098852664,-0.00095907715,-0.010018757,0.0,-0.04325746,-0.010175559,0.05826734,-0.036941975,0.030264545,0.009913368,0.05628799,-0.13883866,0.09490798,-0.012393172,0.16791265,0.0,0.1594556,-0.05826734,0.014689682,0.22883353,0.052987956,0.03725135,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
58666457,15543965,30.7872066,103.8586443,-0.008247749,-0.011709383,0.054015785,-0.00095907715,-0.010018757,0.0,-0.050504826,-0.011517379,0.039905123,-0.09695212,0.030264545,0.009913368,0.05628799,-0.05121451,-0.03915369,0.03289425,0.16684648,0.0,0.1,-0.039905123,0.012798729,0.21708497,0.042283222,0.035021752,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
58766424,15543965,30.7872066,103.8586443,-0.013365701,-0.012307993,0.01578033,-0.00095907715,-0.010018757,0.0,-0.05694748,-0.0124053545,0.021834644,-0.14237827,0.030264545,0.009913368,0.05628799,-0.08983607,-0.08672546,-0.05320047,0.1655514,0.0,0.1,-0.021834644,0.011808643,0.20587662,0.0353173,0.03257412,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
58870369,15543965,30.7872066,103.8586443,-0.017317804,-0.011509416,-0.013806792,-0.00095907715,-0.010018757,0.0,-0.058202617,-0.008692066,0.0069403825,-0.1707829,0.030264545,0.009913368,0.05628799,-0.08381111,-0.09282045,-0.046068862,0.16422409,0.0,0.1,-0.0069403825,0.012920807,0.20202132,0.040442765,0.036159325,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
58970380,15543965,30.7872066,103.8586443,-0.02089943,-0.010409619,-0.03133065,-0.00095907715,-0.010018757,0.0,-0.05958274,-0.006007665,-0.0028895305,-0.18056464,0.030264545,0.009913368,0.05628799,-0.09658854,0.11204716,-0.03167527,0.16283858,0.0,0.11364317,0.0028895305,0.013849563,0.199509,0.04386402,0.03940668,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
59074430,15543965,30.7872066,103.8586443,-0.023294404,-0.009412849,-0.033398952,-0.00095907715,-0.010018757,0.0,-0.057336204,-0.0044816686,-0.0054947967,-0.16579384,0.030264545,0.009913368,0.05628799,-0.106897116,0.09417685,-0.036369577,0.16152197,0.0,0.14920318,0.0054947967,0.012737035,0.19059932,0.038608808,0.036184512,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
59174398,15543965,30.7872066,103.8586443,-0.025217058,-0.008317078,-0.032171443,-0.00095907715,-0.010018757,0.0,-0.056185354,-0.0029745612,-0.006843834,-0.14854148,0.030264545,0.009913368,0.05628799,0.002108561,-0.1092406,0.04073785,0.16036648,0.0,0.15398146,0.006843834,0.013825891,0.188756,0.04252256,0.039481606,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
59274422,15543965,30.7872066,103.8586443,-0.025672445,-0.007221029,-0.015693102,-0.00095907715,-0.010018757,0.0,-0.051532567,-0.0010253282,0.00038971554,-0.11140194,0.030264545,0.009913368,0.05628799,-0.08933869,0.07021983,-0.059311535,0.15956399,0.0,0.18334207,-0.00038971554,0.012574402,0.18120107,0.03733234,0.035791222,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
59378383,15543965,30.7872066,103.8586443,-0.025728997,-0.006329018,-0.0018743479,-0.00095907715,-0.010018757,0.0,-0.047195114,-0.0014162061,0.0051715635,-0.083160974,0.030264545,0.009913368,0.05628799,-0.06696946,0.061461944,-0.033108316,0.15890633,0.0,0.13422942,-0.0051715635,0.011788382,0.1757365,0.03296528,0.032735296,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
59478363,15543965,30.7872066,103.8586443,-0.026165225,-0.0074157994,-0.0030769673,-0.00095907715,-0.010018757,0.0,-0.046179146,-0.0070085293,0.00081096013,-0.08166703,0.030264545,0.009913368,0.05628799,0.00796859,0.010032396,0.018014276,0.15792072,0.0,0.13258608,-0.00081096013,0.012715295,0.17361495,0.03753718,0.035744138,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
59578398,15543965,30.7872066,103.8586443,-0.027284846,-0.009098825,-0.0050539677,-0.00095907715,-0.010018757,0.0,-0.045755837,-0.011410061,-0.0029998682,-0.080881275,0.030264545,0.009913368,0.05628799,-0.02177107,-0.106333286,-0.020866482,0.1568098,0.0,0.13410242,0.0029998682,0.011747087,0.16886322,0.03251768,0.032382313,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
59683226,15543965,30.7872066,103.8586443,-0.027303876,-0.011293869,-0.006066531,-0.00095907715,-0.010018757,0.0,-0.041401938,-0.015591297,-0.0050810194,-0.076837406,0.030264545,0.009913368,0.05628799,0.00091033854,-0.13357121,0.041699704,0.15575401,0.0,0.13649088,0.0050810194,0.012646311,0.16703837,0.03697256,0.035267904,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
59783245,15543965,30.7872066,103.8586443,-0.027276348,-0.013666027,-0.007651674,-0.00095907715,-0.010018757,0.0,-0.03879882,-0.018564476,-0.0070666857,-0.07377435,0.030264545,0.009913368,0.05628799,-0.07352978,0.077582724,-0.06545767,0.15505087,0.0,0.11171468,0.0070666857,0.011848795,0.16302906,0.03240554,0.03215974,inf,inf,inf,inf,1,1,1,1,3,0,3,3,1,1,0
