timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
59538662,-0.026904495,-0.008342944,-0.0042210855,0.1572582,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
59543256,-0.026813958,-0.008449818,-0.0043860553,0.15719317,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
59643493,-0.027287025,-0.010402578,-0.005759928,0.15612422,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
59743917,-0.027251942,-0.01274274,-0.0064847893,0.1552978,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
59847874,-0.026731357,-0.014669724,-0.013134573,0.15469427,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
59947522,-0.026152292,-0.016128518,-0.019213902,0.15439416,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60047838,-0.024920458,-0.017024603,-0.020469083,0.15450804,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60151848,-0.02389229,-0.017647037,-0.019052291,0.15472063,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60251593,-0.02251384,-0.017288487,-0.017803874,0.15502496,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60355547,-0.021008803,-0.016275873,-0.0155322645,0.15536696,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60456098,-0.018995492,-0.014319763,-0.010560754,0.15571247,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60555503,-0.017343238,-0.012181518,-0.0067135766,0.15604079,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60659541,-0.01433776,-0.009976184,-0.003313718,0.15630628,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60760213,-0.011004114,-0.0079534305,-0.0010414548,0.15651971,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60860289,-0.0081747845,-0.0064735524,-0.006617087,0.15666252,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
60964299,-0.0054679057,-0.005225415,-0.012903779,0.1566355,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61064777,-0.002445106,-0.0047863703,-0.01741622,0.15660681,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61164278,0.0004145184,-0.0047284947,-0.021334508,0.15663113,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61268250,0.0033385248,-0.004659199,-0.027136872,0.1566733,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61368950,0.006097006,-0.004568709,-0.032298476,0.15675172,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61472718,0.009343821,-0.0039279866,-0.0347934,0.15688045,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61572287,0.012571276,-0.0030738448,-0.037703156,0.15702029,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61672604,0.0137245245,-0.0025131516,-0.02827486,0.15734722,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61777473,0.014489214,-0.001829084,-0.019867102,0.15775152,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61877135,0.013944988,-0.0014837498,-0.0098953415,0.15812126,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
61977616,0.012651224,-0.0011833087,0.0006695392,0.15837187,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
62081437,0.011141734,-0.0008111458,0.015024212,0.15861239,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
62181090,0.009807389,-0.00041043732,0.024508296,0.15884346,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
62281339,0.0083635505,-0.00040008718,0.021822773,0.15880881,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
62385651,0.007238308,-0.0004280435,0.019204762,0.15874307,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
62485178,0.0066697905,-0.00068691676,0.013803657,0.15866682,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
