timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
108162272,30.78720447595387,103.85864215488252,0.011291849,-0.23618315,-0.2049117,-0.011291849,-0.45172256,1,1,0
108506725,30.787204319694276,103.85864233954581,0.006648547,-0.25355843,-0.18727179,-0.006648547,-0.45330828,1,1,0
108920755,30.787204519349192,103.85864245370803,-0.019704545,-0.23135781,-0.17636648,0.019704545,-0.45508453,1,1,0
109218513,30.787204718136405,103.85864254572206,-0.04226312,-0.20925368,-0.16757686,0.04226312,-0.45616466,1,1,0
109603937,30.787204916204246,103.8586426199191,-0.04708031,-0.18722954,-0.16048922,0.04708031,-0.45775956,1,1,0
110166796,30.787205117496633,103.85864262671849,-0.031258546,-0.16484685,-0.1598397,0.031258546,-0.4600708,1,1,0
115816758,30.787205324834176,103.8586425793154,-0.03779859,-0.14179197,-0.16436787,0.03779859,-0.47830957,1,1,0
123564635,30.787205153423734,103.85864242228327,0.023453766,-0.16085194,-0.17936832,-0.023453766,-0.49476403,1,1,0
125177795,30.78720535469749,103.85864249183497,0.017093683,-0.13847132,-0.17272441,-0.017093683,-0.49699014,1,1,0
131302739,30.787205495641967,103.85864230075475,-0.09807125,-0.12279901,-0.19097729,0.09807125,-0.50255346,1,1,0
132158309,30.78720544791145,103.85864256244386,-0.06644467,-0.1281064,-0.16597952,0.06644467,-0.573547,1,1,0
132566805,30.787205543651293,103.85864274771863,0.120338514,-0.117460616,-0.1482812,-0.120338514,-0.6181801,1,1,0
132755056,30.78720532372149,103.85864266635532,0.24672143,-0.1419157,-0.15605341,-0.24672143,-0.64253294,1,1,0
132854223,30.78720510331616,103.85864263676739,0.31235734,-0.16642365,-0.15887979,-0.31235734,-0.6518339,1,1,0
132942341,30.78720488002145,103.85864261836664,0.36574382,-0.19125289,-0.16063751,-0.36574382,-0.6482593,1,1,0
133030312,30.78720464234902,103.8586426413709,0.427135,-0.21768086,-0.15844004,-0.427135,-0.6422242,1,1,0
133118152,30.787204401296194,103.85864268256267,0.4922828,-0.24448471,-0.15450521,-0.4922828,-0.6482952,1,1,0
133206750,30.787204159861307,103.85864272697334,0.5541603,-0.27133104,-0.15026289,-0.5541603,-0.6714959,1,1,0
133294944,30.787203922913463,103.85864277536527,0.61119837,-0.29767844,-0.14564027,-0.61119837,-0.70347905,1,1,0
133383939,30.787203683658774,103.85864280135773,0.66626513,-0.32428235,-0.14315735,-0.66626513,-0.7363516,1,1,0
133472730,30.787203437774107,103.85864277826113,0.7205617,-0.35162348,-0.14536364,-0.7205617,-0.75700426,1,1,0
133560726,30.787203170604464,103.85864274239574,0.77070576,-0.38133138,-0.14878967,-0.77070576,-0.7645439,1,1,0
