timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
43313756,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
44316302,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
45317022,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
46317793,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
47321777,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
48323842,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
49324877,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
50326721,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
51329151,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
52329850,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
53331745,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
54334774,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
55341794,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
56349447,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
57350759,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
57582654,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
58585762,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
58596758,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
58607905,3014703,2162703,3014703,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
58618966,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
59620771,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
60630727,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
61638772,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
62641662,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
63651753,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
64655916,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
65662750,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
66672903,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
67681503,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
68684832,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
69688751,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
70691829,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
71696828,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
72705041,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
73709779,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
74712824,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
75723359,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
76726751,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
77734775,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
78738757,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
79741716,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
80750746,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
81755226,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
82760232,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
83769757,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
84777885,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
85781427,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
86787836,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
87789728,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
88793726,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
89800742,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
90803818,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
91804844,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
92809721,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
93815493,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
94824383,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
95825338,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
96827765,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
97838220,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
98841775,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
99844834,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
100852946,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
101859839,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
102863739,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
103867834,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
104871137,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
105875892,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
106876726,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
107885486,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
108887825,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
109891054,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
110895764,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
111901773,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
112906725,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
113909780,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
114910386,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
115915963,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
116916814,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
117923914,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
118929038,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
119931732,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
120938778,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
121940728,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
122943842,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
123952722,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
124955822,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
125961359,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
126970166,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
127973791,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
128979968,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
129982774,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
130993628,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
132002776,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
133007831,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
134015062,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
135023945,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
136024801,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
137027817,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
